Date,Description,Amount,Category,Flag
2024-02-12,LINKEDIN ADS - CAMPAIGN Q1-PRODUCT,3400.00,Advertising & Marketing,
2024-02-13,STAPLES BUSINESS - ORDER #45012,218.75,,
2024-02-14,TEAM VALENTINES - CATERING,445.00,Meals & Entertainment,Meals & entertainment - only 50% tax deductible
2024-02-15,ADP PAYROLL RUN 02152024 - FULL STAFF,38750.00,,
2024-02-15,ADP EMPLOYER TAX REMITTANCE 02152024,5312.00,,
2024-02-16,COMCAST BUS INTERNET + PHONE FEB,389.00,,
2024-02-16,ROGERS WIRELESS - 8 LINES FEB,640.00,,
2024-02-17,VENDOR PAYMENT - PRINTCRAFT INC,6800.00,,
2024-02-18,AMAZON BUSINESS - OFFICE SUPPLIES,204.33,,
2024-02-19,PETTY CASH REIMBURSEMENT - T.CHEN,312.45,,
2024-02-19,PETTY CASH REIMBURSEMENT - A.WILLIAMS,88.20,,
2024-02-20,CONSULTANT - JASON MERCER - INV #JM-8,6500.00,,
2024-02-21,STRIPE FEES - FEB PROCESSING,1102.88,,
2024-02-22,GOOGLE ANALYTICS 360 - ANNUAL SETUP,12000.00,,
2024-02-22,SEMRUSH - ANNUAL PLAN,2400.00,Software & Subscriptions,
2024-02-23,RBC BUSINESS ACCOUNT FEE FEB,54.00,,
2024-02-23,RBC WIRE TRANSFER - VENDOR PAYMENT,1800.00,,
2024-02-24,AMEX LATE PAYMENT FEE,39.00,,
2024-02-24,AMEX FOREIGN TRANSACTION FEE - USD,84.22,,
2024-02-25,INSURANCE PREMIUM - MONTHLY INSTALLMENT,800.00,,
2024-02-26,HUBSPOT MARKETING HUB - FEB,890.00,Software & Subscriptions,
2024-02-27,SPOTIFY FOR BUSINESS - OFFICE,14.99,,
2024-02-27,NETFLIX - OFFICE ACCOUNT,22.99,,
2024-02-28,ADP PAYROLL RUN 02282024 - FULL STAFF,38750.00,,
2024-02-28,ADP EMPLOYER TAX REMITTANCE 02282024,5312.00,,
2024-02-29,EMPLOYEE RECOGNITION AWARDS Q1,890.00,,
2024-02-29,SLACK ADDITIONAL STORAGE - ONE TIME,149.00,Software & Subscriptions,
2024-03-01,ADP PAYROLL RUN 03012024 - FULL STAFF,38750.00,,
2024-03-01,ADP EMPLOYER TAX REMITTANCE 03012024,5312.00,,
2024-03-01,WEWORK - 400 W GEORGIA ST - MAR RENT,6800.00,,
2024-03-01,WEWORK - PARKING STALL A-14 MAR,280.00,,
2024-03-02,GOOGLE ADS - ACCOUNT 8834421 MAR,8100.00,Advertising & Marketing,
2024-03-02,META ADS MANAGER - NORTHGATE_MAR24,6200.00,Advertising & Marketing,
2024-03-03,JANE SMITH DESIGN - INV #JS-2024-003,4500.00,,
2024-03-03,MARK LEE COPY - INV #ML-046,2800.00,,
2024-03-04,AWS - MONTHLY USAGE FEB24,2988.44,,
2024-03-04,SHOPIFY PLUS - MONTHLY PLATFORM FEE,2000.00,,
2024-03-05,LINKEDIN ADS - Q1 FINAL PUSH,5200.00,Advertising & Marketing,
2024-03-05,YOUTUBE ADS - BRAND AWARENESS Q1,2800.00,Advertising & Marketing,
2024-03-06,INTERAC E-TRANSFER - SARA OKONKWO,3200.00,,
2024-03-06,FREELANCER.COM - INV #F-91200 P.NGUYEN,1600.00,,
2024-03-06,NEW CONTRACTOR - INV #D.FOSTER-001,2200.00,,
2024-03-07,DELTA AIRLINES 0081442 - MONTREAL,480.00,,
2024-03-07,HOTEL LE GERMAIN MONTREAL - 1 NIGHT,320.00,,
2024-03-08,CLIENT LUNCH - TOQUÉ MONTREAL,890.00,Meals & Entertainment,Meals & entertainment - only 50% tax deductible
2024-03-08,CLIENT GIFT - WINE RACK ORDER #88421,420.00,,
2024-03-09,STRIPE FEES - FEB RECONCILED,1102.88,,
2024-03-09,STRIPE FEES - MAR PROCESSING,1344.22,,
2024-03-10,SEMRUSH - OVERAGE CHARGES FEB,180.00,Software & Subscriptions,
2024-03-10,CHATGPT PLUS - 10 SEATS MAR,200.00,,
2024-03-10,MIDJOURNEY - TEAM PLAN MAR,96.00,,
2024-03-10,ANTHROPIC CLAUDE - API USAGE FEB,489.88,,
2024-03-11,GOOGLE ANALYTICS 360 - SETUP PHASE 2,6000.00,,
2024-03-12,CONSULTANT - JASON MERCER - INV #JM-9,6500.00,,
2024-03-13,AMAZON BUSINESS - OFFICE SUPPLIES,341.12,,
2024-03-13,AMAZON - STANDING DESK X2 - OFFICE,1840.00,,
2024-03-14,TEAM LUNCH - NANDO'S CATERING,210.00,Meals & Entertainment,Meals & entertainment - only 50% tax deductible
2024-03-15,ADP PAYROLL RUN 03152024 - FULL STAFF,38750.00,,
2024-03-15,ADP EMPLOYER TAX REMITTANCE 03152024,5312.00,,
2024-03-15,PETTY CASH REIMBURSEMENT - T.CHEN,198.75,,
2024-03-15,PETTY CASH REIMBURSEMENT - B.SANTOS,441.00,,
2024-03-16,COMCAST BUS INTERNET + PHONE MAR,389.00,,
2024-03-16,ROGERS WIRELESS - 8 LINES MAR,640.00,,
2024-03-17,VENDOR PAYMENT - PRINTCRAFT INC,9200.00,,
2024-03-18,INSURANCE PREMIUM - MONTHLY INSTALLMENT,800.00,,
2024-03-18,RBC BUSINESS ACCOUNT FEE MAR,54.00,,
2024-03-18,RBC WIRE TRANSFER - CLIENT REFUND,1200.00,,
2024-03-19,TIKTOK ADS - Q1 FINAL PUSH,3800.00,Advertising & Marketing,
2024-03-19,PINTEREST ADS - Q1 CLOSE,1100.00,Advertising & Marketing,
2024-03-20,VENDOR PAYMENT - STOCK PHOTO LICENSE,800.00,,
2024-03-21,PETTY CASH REIMBURSEMENT - R.PATEL,166.30,,
2024-03-22,LINKEDIN ADS - MARCH EXTENSION,2400.00,Advertising & Marketing,
2024-03-23,EMPLOYEE OFFBOARDING - SEVERANCE PMT,12000.00,,
2024-03-24,LEGAL FEES - HARPER GREY LLP INV 2024-14,8400.00,,
2024-03-24,LEGAL FEES - HARPER GREY LLP INV 2024-15,3200.00,,
2024-03-25,XERO ACCOUNTING SOFTWARE - ANNUAL,840.00,,
2024-03-25,HUBSPOT MARKETING HUB - MAR,890.00,Software & Subscriptions,
2024-03-26,STRIPE FEES - MAR RECONCILIATION,1344.22,,
2024-03-26,STRIPE FEES - MAR PROCESSING,-1344.22,,
2024-03-27,AWS - RESERVED INSTANCE PURCHASE,4800.00,,
2024-03-28,SPOTIFY FOR BUSINESS - OFFICE,14.99,,
2024-03-28,NETFLIX - OFFICE ACCOUNT,22.99,,
2024-03-29,ADP PAYROLL RUN 03292024 - FULL STAFF,38750.00,,
2024-03-29,ADP EMPLOYER TAX REMITTANCE 03292024,5312.00,,
2024-03-29,EMPLOYEE RECOGNITION - Q1 BONUS GIFTS,1240.00,,
2024-03-30,YEAR END CLEANUP - MISC ADJUSTMENTS,450.00,,
2024-03-31,DEFERRED REVENUE ADJUSTMENT,-2400.00,,
2024-03-31,PREPAID EXPENSE RECLASSIFICATION,-1800.00,,
